title,url,page_title,category,ingredients,instructions,kalori,protein,karbohidrat,lemak,serat,gula,sodium,kalium,kolesterol,lemak_jenuh,description,prepTime,cookTime,recipeYield
Bolu Pisang Coklat,https://www.fatsecret.co.id/resep/106942447-bolu-pisang-coklat/Default.aspx,Bolu Pisang Coklat,Sidebar - Makan Pagi,4 besar telur | 1 sdt ekstrak vanila | 450 gram pisang | 20 gram kacang almond panggang kering (tanpa tambahan garam) | 2 sdt baking soda | 200 g original yogurt | 51 g coklat bubuk | 30 ml madu,Hancurkan pisang. | Campur semua bahan kecuali almond. | Tuang ke dalam cetakan dan beri hiasan almond. | Panggang dalam oven pada suhu 175°C selama 50-60 menit. Jangan lupa tes tusuk.,"136,0 kkal","5,14 g","19,33 g","4,62 g","4,3 g","7,48 g","286,0 mg","203,0 mg","86,0 mg","1,677 g","Sehat, lembab dan lezat.",PT15M,PT60M,10 porsi
Muffin Pisang,https://www.fatsecret.co.id/resep/104353078-muffin-pisang/Default.aspx,Muffin Pisang,Sidebar - Makan Pagi,1 sedang telur | 1 sejumput garam | 80 gram pisang | 1/2 sdm madu | 2 g baking powder | 40 g oat flour,"Hancurkan pisang. | Tambahkan madu dan telur. Aduk hingga rata. | Tambahkan sisa bahan lainnya. Lalu aduk rata. | Bagi adonan ke dalam cetakan muffin, lalu panggang dalam air fryer yang sudah dipanaskan pada suhu 165°C selama 10 menit/sampai matang. | Panaskan air fryer hingga 165 derajat Celsius, lalu panggang adonan dalam air fryer pada suhu 165 derajat Celsius selama 10 menit/hingga matang.","96,0 kkal","3,92 g","16,38 g","2,43 g","2,0 g","6,25 g","73,0 mg","123,0 mg","62,0 mg","0,485 g","Lembab, lezat dan rendah kalori.",PT10M,PT10M,3 porsi
Brownies Berprotein,https://www.fatsecret.co.id/resep/100222820-brownies-berprotein/Default.aspx,Brownies Berprotein,Sidebar - Makan Pagi,1 besar telur (utuh) | 25 g greek yogurt plain | 1 scoop f1 shake mix cookies 'n cream | 7 g cocoa powder | 1 tetes stevia sweetener,Campur semua bahan. | Taruh adonan ke dalam cetakan lalu hias sesuai selera. | Panggang dalam airfryer selama 20 menit 180°C.,"184,0 kkal","19,29 g","11,88 g","8,47 g","3,0 g","5,38 g","182,0 mg","147,0 mg","214,0 mg","3,05 g","Kaya, lembap dan mudah disediakan. Makanan ringan yang sesuai selepas bersenam.",PT10M,PT20M,1 porsi
Telur Dadar Sayur,https://www.fatsecret.co.id/resep/93111468-telur-dadar-sayur/Default.aspx,Telur Dadar Sayur,Sidebar - Makan Siang,1 besar telur | 100 gram selada kol | 1 sdm minyak kelapa murni | 4 g bumbu kaldu rasa ayam,Irisi sayuran tipis tipis. | Kocok telur dan tambahkan bubuk kaldu. | Masukan sayuran aduk rata. | Panaskan minyak kelapa lalu goreng telur hingga matang.,"268,0 kkal","7,58 g","13,79 g","16,58 g","1,5 g","1,38 g","953,0 mg","248,0 mg","221,0 mg","9,935 g",Cara yang bersemangat dan bergizi untuk memulai hari Anda.,PT10M,PT5M,1 porsi
Brownies,https://www.fatsecret.co.id/resep/91329429-brownies/Default.aspx,Brownies,Sidebar - Makan Pagi,20 gram kakao bubuk (tanpa gula) | 20 gram gula pasir | 30 g instant oatmeal | 30 g dark chocolate 90% | 20 g margarin,Lelehkan dark coklat dan margarin. | Campurkan oat dan coklat bubuk. | Campur semua bahan dengan baik. | Tuang ke dalam cetakan dan panggang selama 25 menit pada suhu 180°C.,"79,0 kkal","1,6 g","8,63 g","5,33 g","1,9 g","3,19 g","26,0 mg","44,0 mg","0,0 mg","2,991 g","Sehat, fudgy dan lezat.",PT10M,PT25M,7 porsi
Kue Wortel Labu,https://www.fatsecret.co.id/resep/90732909-kue-wortel-labu/Default.aspx,Kue Wortel Labu,Sidebar - Makan Pagi,90 gram cream cheese | 2 besar telur | 40 gram walnuts | 100 gram raisins | 175 gram carrots | 180 gram cooked pumpkin | 1 porsi 100% maple syrup | 1 1/4 gram nutmeg (ground) | 3/4 sdt salt | 1 sdt vanilla extract | 62 gram apples (without skin) | 1/2 sdt ginger | 62 ml minyak kelapa | 62 ml almond breeze unsweetened original | 100 g tepung mocaf | 5 g baking powder | 10 g cinnamon powder,"Campur semua bahan kecuali krim keju, wortel, labu, apel, kismis, mocaf, baking powder, sisakan beberapa kenari untuk taburan di atasnya. | Setelah tercapur halus, tambahkan tepung mocaf dan baking powder, blender halus. | Tambahkan wortel parut, labu kukus, apel, dan kismis yang direndam dalam air hangat, aduk hingga halus. | Tuang ke dalam loyang yang sudah diolesi mentega dan dialasi dengan kertas roti. | Masak dalam oven yang sudah dipanaskan pada suhu 180°C selama 45-50 menit. | Setelah matang dan dingin oleskan cream cheese di atasnya dan taburkan cacahan walnut.","288,0 kkal","4,34 g","31,41 g","16,9 g","3,9 g","13,24 g","333,0 mg","304,0 mg","65,0 mg","10,472 g","Makanan penutup yang lezat, lembab dan menenangkan.",PT20M,PT50M,8 porsi
Kue Kering Coklat Chip,https://www.fatsecret.co.id/resep/86664932-kue-kering-coklat-chip/Default.aspx,Kue Kering Coklat Chip,Sidebar - Makan Pagi,1 besar egg | 70 gram sugar | 60 gram sweet or dark chocolate | 1 sdt salt | 1 sdt vanilla extract | 100 gram brown sugar | 40 gram chocolate chips | 128 g unsalted butter | 3 g baking powder | 180 g tepung segitiga biru,"Campur mentega cair, gula pasir dan gula merah, aduk hingga mengembang. | Tambahkan telur dan ekstrak vanili. | Masukkan semua bahan kering dan gaul rata. | Tambahkan potongan dark chocolate dan chocolate chips. Diamkan dalam lemari es selama 30 menit. | Panggang dalam oven yang sudah dipanaskan pada suhu 190°C selama 20 menit, jika ingin kue lembut cukup 15 menit saja.","139,0 kkal","1,42 g","18,15 g","7,11 g","0,3 g","10,86 g","124,0 mg","49,0 mg","23,0 mg","4,435 g","Manis, lezat dan rendah kalori.",PT25M,PT20M,20 porsi
Kue Pisang,https://www.fatsecret.co.id/resep/85273039-kue-pisang/Default.aspx,Kue Pisang,Sidebar - Makan Pagi,350 gram pisang | 20 gram gula pasir | 50 g instant oatmeal | 10 g fiber creme | 30 g cocoa powder,"Masukkan semua bahan ke dalam blender dan kocok. | Bagi adonan ke dalam cetakan pilihan Anda, hias sesuai selera. | Kukus selama 15 menit.","124,0 kkal","2,99 g","26,15 g","2,08 g","5,0 g","10,46 g","2,0 mg","209,0 mg","0,0 mg","1,072 g","Resep harum, lezat dan rendah kalori.",PT15M,PT15M,6 porsi
Pancake Pisang,https://www.fatsecret.co.id/resep/84782337-pancake-pisang/Default.aspx,Pancake Pisang,Sidebar - Makan Pagi,1 besar telur | 75 gram pisang | 100 ml air | 80 g oatmeal | 2 scoops f1 shake mix french vanilla,Hancurkan pisangnya. | Campur semua bahan dengan baik. | Tuang adonan ke dalam wajan anti lengket secara bertahap dan masak hingga kedua sisinya berwarna cokelat keemasan.,"297,0 kkal","18,71 g","39,11 g","7,82 g","5,0 g","18,55 g","243,0 mg","335,0 mg","212,0 mg","1,634 g","Sehat, enak dan mudah disiapkan.",PT10M,PT15M,1 porsi
Roti Pisang Oat,https://www.fatsecret.co.id/resep/76149517-roti-pisang-oat/Default.aspx,Roti Pisang Oat,Sidebar - Makan Pagi,"2 besar telur | 2 besar pisang | 1 tsp baking powder (sodium aluminum sulfate, double acting) | 6 sdm honey | 170 g quick cooking oatmeal | 54 g roasted almond | 100 g choco chips","Panaskan oven terlebih dahulu pada suhu 170°C. | Hancurkan pisang, campur dengan telur dan madu. | Giling oatmeal dan campur dengan baking powder. | Aduk bahan basah dan kering hingga rata, tambahkan coklat keping tapi sisakan sedikit untuk topping. | Tuang ke dalam loyang dan taburi dengan sisa choco chips dan almond. Panggang selama 40 menit atau sampai matang.","193,0 kkal","4,28 g","29,77 g","6,93 g","3,3 g","15,16 g","55,0 mg","123,0 mg","35,0 mg","0,653 g",Ini sangat mudah dan lezat.,PT10M,PT40M,12 porsi
